0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced
0.001,1.0,1.0,0.1,0.001,0.1,0.1,1.0,1.0,0.001,0.1,1.0,0.001,1.0,0.001,0.001,0.1,0.001,1.0,0.001,0.1,1.0,0.1,0.1,0.001,1.0,0.1,0.1,1.0,0.1,0.001,1.0,0.001,0.001,1.0,1.0,0.001,1.0,1.0,0.1,0.001,0.1,0.1,0.001,0.1,0.1,1.0,1.0
"{'max_iter': 200, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 100, 'kernel': 'poly', 'gamma': 'auto', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'sigmoid', 'gamma': 'scale', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 200, 'kernel': 'linear', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'poly', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 200, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 0.5, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 100, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 200, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 200, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 200, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 200, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 100, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'linear', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 200, 'kernel': 'sigmoid', 'gamma': 'scale', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 100, 'kernel': 'rbf', 'gamma': 'scale', 'coef0': 0.5, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'scale', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': -1, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': 100, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 200, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 200, 'kernel': 'sigmoid', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 200, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 0.5, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 200, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 0.5, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': 200, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': -1, 'kernel': 'sigmoid', 'gamma': 'scale', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'sigmoid', 'gamma': 'auto', 'coef0': 0.1, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'rbf', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.001}","{'max_iter': -1, 'kernel': 'linear', 'gamma': 'auto', 'coef0': 0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'auto', 'coef0': 1.0, 'class_weight': 'balanced', 'C': 0.1}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 2.0, 'class_weight': 'balanced', 'C': 1.0}","{'max_iter': -1, 'kernel': 'poly', 'gamma': 'scale', 'coef0': 0, 'class_weight': 'balanced', 'C': 1.0}"
0.3568075117370892,0.3568075117370892,0.3568075117370892,0.3568075117370892,0.40835266821345706,0.37942122186495175,0.3568075117370892,0.3568075117370892,0.3595238095238095,0.3568075117370892,0.47447447447447444,0.3568075117370892,0.3568075117370892,0.3010752688172043,0.3568075117370892,0.3568075117370892,0.49206349206349204,0.3568075117370892,0.3253588516746412,0.3568075117370892,0.3568075117370892,0.3568075117370892,0.3568075117370892,0.425974025974026,0.3568075117370892,0.35138387484957884,0.3568075117370892,0.3568075117370892,0.5108695652173914,0.4574780058651027,0.3568075117370892,0.3568075117370892,0.48000000000000004,0.3568075117370892,0.515235457063712,0.3568075117370892,0.3510011778563015,0.3510011778563015,0.3525691699604743,0.27986348122866894,0.45699391833188535,0.44638186573670446,0.4924318869828457,0.48851269649334944,0.49468085106382986,0.5136186770428016,0.4995507637017071,0.5068368277119416
0.3510011778563015,0.3510011778563015,0.3510011778563015,0.3510011778563015,0.40430107526881714,0.4064748201438849,0.3510011778563015,0.3510011778563015,0.35349940688018977,0.0,0.47976878612716756,0.3510011778563015,0.3510011778563015,0.3102803738317757,0.3510011778563015,0.3510011778563015,0.4654731457800511,0.3510011778563015,0.3372093023255814,0.3510011778563015,0.3510011778563015,0.3510011778563015,0.3510011778563015,0.4392764857881137,0.3510011778563015,0.3417569193742479,0.3510011778563015,0.3510011778563015,0.453551912568306,0.44692737430167595,0.3510011778563015,0.3510011778563015,0.4461538461538461,0.3510011778563015,0.4751381215469613,0.3510011778563015,0.34970530451866405,0.34970530451866405,0.34889240506329117,0.2711864406779661,0.43688451208594453,0.4415807560137457,0.47967479674796754,0.4489281210592686,0.460573476702509,0.47542627883650956,0.46600181323662737,0.46918123275068996
0.370197904540163,0.370197904540163,0.370197904540163,0.370197904540163,0.41431261770244815,0.40404040404040403,0.370197904540163,0.370197904540163,0.3712574850299401,0.370197904540163,0.4985994397759103,0.370197904540163,0.370197904540163,0.30082644628099175,0.370197904540163,0.370197904540163,0.48311688311688306,0.370197904540163,0.29927007299270075,0.370197904540163,0.370197904540163,0.370197904540163,0.370197904540163,0.42696629213483145,0.370197904540163,0.36471990464839094,0.370197904540163,0.370197904540163,0.4724409448818898,0.4825737265415549,0.370197904540163,0.370197904540163,0.5140845070422535,0.370197904540163,0.47540983606557374,0.370197904540163,0.35423197492163006,0.35423197492163006,0.35668789808917195,0.2937158469945355,0.43872113676731794,0.43614248479582973,0.4648862512363996,0.4681372549019608,0.4619565217391305,0.4889779559118237,0.49486461251167135,0.49433962264150944
0.370197904540163,0.3689776733254994,0.370197904540163,0.370197904540163,0.398576512455516,0.3383084577114428,0.370197904540163,0.370197904540163,0.38048780487804873,0.370197904540163,0.47619047619047616,0.370197904540163,0.370197904540163,0.3076923076923077,0.370197904540163,0.370197904540163,0.48578811369509045,0.370197904540163,0.3567567567567568,0.370197904540163,0.370197904540163,0.370197904540163,0.370197904540163,0.42592592592592593,0.370197904540163,0.365361803084223,0.370197904540163,0.370197904540163,0.48148148148148145,0.45429362880886426,0.370197904540163,0.370197904540163,0.45185185185185184,0.370197904540163,0.47802197802197793,0.370197904540163,0.35937499999999994,0.35937499999999994,0.35937499999999994,0.3048780487804878,0.4724689165186501,0.47088607594936716,0.512770137524558,0.5036319612590799,0.5030782761653474,0.5269230769230768,0.4904013961605585,0.49369369369369365
0.3663943990665111,0.3663943990665111,0.3663943990665111,0.3663943990665111,0.38273921200750466,0.3146666666666667,0.3663943990665111,0.3663943990665111,0.3634232121922626,0.3663943990665111,0.48520710059171596,0.3663943990665111,0.3663943990665111,0.38938053097345127,0.3663943990665111,0.3663943990665111,0.4746666666666667,0.3663943990665111,0.3192660550458716,0.3663943990665111,0.3663943990665111,0.3663943990665111,0.3663943990665111,0.42105263157894735,0.3663943990665111,0.3701067615658363,0.3663943990665111,0.3663943990665111,0.5027322404371585,0.47091412742382277,0.3663943990665111,0.3663943990665111,0.5054945054945056,0.3663943990665111,0.4985994397759104,0.3663943990665111,0.3561643835616438,0.3561643835616438,0.3607085346215781,0.28491228070175445,0.47689463955637706,0.4679313459801264,0.49896907216494846,0.49631449631449626,0.4750462107208872,0.49240121580547114,0.4823747680890538,0.49340866290018837
0.36291977954804555,0.3626757333051128,0.36291977954804555,0.36291977954804555,0.4016564171295486,0.36858231408547004,0.36291977954804555,0.36291977954804555,0.36563834370085013,0.29271954397678523,0.48284805543194886,0.36291977954804555,0.36291977954804555,0.32185098551914615,0.36291977954804555,0.36291977954804555,0.4802216602644367,0.36291977954804555,0.32757220775911033,0.36291977954804555,0.36291977954804555,0.36291977954804555,0.36291977954804555,0.4278390722803689,0.36291977954804555,0.3586658527044554,0.36291977954804555,0.36291977954804555,0.48421522891724544,0.4624373725882041,0.36291977954804555,0.36291977954804555,0.4795169421084914,0.36291977954804555,0.48848096649482714,0.36291977954804555,0.3540955681716479,0.3540955681716479,0.35564660154690314,0.28691121967668254,0.45639262465203495,0.4525845056951547,0.48974642893134385,0.481104906005631,0.4790670672783408,0.4994694409039365,0.4866386707399236,0.49149200793960457
0.007712691769793055,0.007494761536616753,0.007712691769793055,0.007712691769793055,0.010764384521415248,0.03642527555650129,0.007712691769793055,0.007712691769793055,0.00939924858132749,0.1464416443647725,0.00869014754392869,0.007712691769793055,0.007712691769793055,0.03396541881545175,0.007712691769793055,0.007712691769793055,0.009251738570511816,0.007712691769793055,0.019076233602404024,0.007712691769793055,0.007712691769793055,0.007712691769793055,0.007712691769793055,0.006078988024693254,0.007712691769793055,0.010500675405391003,0.007712691769793055,0.007712691769793055,0.020686611459264082,0.01271852232740627,0.007712691769793055,0.007712691769793055,0.027380420305165784,0.007712691769793055,0.015977876385909865,0.007712691769793055,0.003493441590064496,0.003493441590064496,0.004374886861962717,0.011576225203370776,0.016564958613644917,0.014144739525784253,0.01638185704007576,0.01998589843012505,0.017153887867226884,0.018395693624148383,0.011769512468275513,0.012246338875467945
